"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","24/144","167/18369",9.85098866274032e-24,3.13261439475142e-21,2.43682351130945e-21,"2335/2244/7448/2266/80781/2243/11117/7045/255743/1291/80144/4060/4148/7057/1292/2331/1311/64856/3339/4240/4969/10631/375790/1462",24,"Downres_DEq_MS_X3_vs_X3H"
"GO:0005539","GO:0005539","glycosaminoglycan binding","17/144","232/18369",3.68344297903779e-12,5.85667433667008e-10,4.55583736880989e-10,"2335/7448/348/57214/3697/7060/1490/7057/5046/338/1311/4057/116519/10631/375790/1462/27329",17,"Downres_DEq_MS_X3_vs_X3H"
"GO:0005178","GO:0005178","integrin binding","14/144","151/18369",1.37656507876831e-11,1.45915898349441e-09,1.13506243337036e-09,"2335/7448/11117/7045/255743/7060/1490/7094/7057/1311/11093/83706/4240/27329",14,"Downres_DEq_MS_X3_vs_X3H"
"GO:0070325","GO:0070325","lipoprotein particle receptor binding","8/144","29/18369",4.37900900166072e-11,3.48131215632027e-09,2.70807135629018e-09,"1191/348/335/338/3339/116519/5649/22943",8,"Downres_DEq_MS_X3_vs_X3H"
"GO:0008201","GO:0008201","heparin binding","13/144","168/18369",7.32654043566208e-10,4.65967971708108e-08,3.62470947869598e-08,"2335/7448/348/7060/1490/7057/5046/338/1311/4057/116519/10631/27329",13,"Downres_DEq_MS_X3_vs_X3H"
"GO:0050750","GO:0050750","low-density lipoprotein particle receptor binding","6/144","24/18369",2.50462364084596e-08,1.21986626434465e-06,9.48919470774553e-07,"1191/348/338/3339/116519/22943",6,"Downres_DEq_MS_X3_vs_X3H"
"GO:1901681","GO:1901681","sulfur compound binding","14/144","269/18369",2.68524020453225e-08,1.21986626434465e-06,9.48919470774553e-07,"2335/7448/348/7060/1490/7057/5046/338/1311/4057/116519/10631/375790/27329",14,"Downres_DEq_MS_X3_vs_X3H"
"GO:0005518","GO:0005518","collagen binding","8/144","66/18369",4.59077262611409e-08,1.82483211888035e-06,1.41951521991686e-06,"2335/7448/7045/1291/4060/7057/1292/1311",8,"Downres_DEq_MS_X3_vs_X3H"
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","11/144","173/18369",1.19086292079622e-07,4.20771565347998e-06,3.27313200452762e-06,"6906/718/3697/5176/727/5054/7035/3699/4057/2/256394",11,"Downres_DEq_MS_X3_vs_X3H"
"GO:0030414","GO:0030414","peptidase inhibitor activity","11/144","180/18369",1.7811098889886e-07,5.66392944698376e-06,4.40590340960339e-06,"6906/718/3697/5176/727/5054/7035/3699/4057/2/256394",11,"Downres_DEq_MS_X3_vs_X3H"
