"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0006631","GO:0006631","fatty acid metabolic process","34/316","394/18614",6.75236261640745e-15,2.0466411090331e-11,1.8721813822755e-11,"337/123876/131/55825/718/570/8824/11001/6296/341/80221/345/5095/1374/197322/1576/549/1384/2110/80724/84693/2168/2639/5105/634/153364/2944/390916/54576/9104/55268/9926/51099/8560",34,"Downres_DEq_MS_X3_vs_X5"
"GO:0016042","GO:0016042","lipid catabolic process","29/316","330/18614",4.60691422994222e-13,6.98177851547743e-10,6.38663793771989e-10,"337/11001/341/345/5095/1374/1576/549/4668/284161/1384/2110/80724/84693/2168/2639/5105/338/27293/57552/390916/4258/54905/285148/128486/55268/51099/63874/5051",29,"Downres_DEq_MS_X3_vs_X5"
"GO:0044242","GO:0044242","cellular lipid catabolic process","23/316","222/18614",4.55977716140152e-12,4.606894858736e-09,4.21419405022161e-09,"337/11001/341/345/5095/1374/549/4668/284161/1384/2110/80724/84693/2168/2639/5105/338/27293/390916/4258/54905/55268/51099",23,"Downres_DEq_MS_X3_vs_X5"
"GO:0016054","GO:0016054","organic acid catabolic process","23/316","250/18614",5.23353842548593e-11,3.17257099352957e-08,2.90213478162736e-08,"7263/3155/11001/4329/5095/1374/197322/549/55556/1384/2110/80724/84693/2168/2639/5105/10247/1629/593/390916/54905/1428/55268",23,"Downres_DEq_MS_X3_vs_X5"
"GO:0046395","GO:0046395","carboxylic acid catabolic process","23/316","250/18614",5.23353842548593e-11,3.17257099352957e-08,2.90213478162736e-08,"7263/3155/11001/4329/5095/1374/197322/549/55556/1384/2110/80724/84693/2168/2639/5105/10247/1629/593/390916/54905/1428/55268",23,"Downres_DEq_MS_X3_vs_X5"
"GO:0044282","GO:0044282","small molecule catabolic process","28/316","388/18614",1.28458213784718e-10,6.48928076635801e-08,5.93612166857802e-08,"7263/3155/11001/2720/4329/5095/1374/197322/1576/549/55556/1384/2110/80724/84693/2168/2639/5105/10247/2584/1629/593/390916/54905/64080/1428/55268/572",28,"Downres_DEq_MS_X3_vs_X5"
"GO:0009062","GO:0009062","fatty acid catabolic process","13/316","105/18614",2.61877686164646e-08,1.13393038109292e-05,1.03727191783109e-05,"11001/5095/1374/549/1384/2110/80724/84693/2168/2639/5105/390916/55268",13,"Downres_DEq_MS_X3_vs_X5"
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","14/316","131/18614",5.09372841907526e-08,1.92988635477714e-05,1.76537903366371e-05,"11001/5095/1374/549/1384/2110/80724/84693/2168/2639/5105/390916/54905/55268",14,"Downres_DEq_MS_X3_vs_X5"
"GO:0006637","GO:0006637","acyl-CoA metabolic process","12/316","94/18614",6.40639508906593e-08,1.94177835149588e-05,1.77625733311575e-05,"123876/570/11001/8801/6296/80221/197322/84693/2639/6576/390916/128486",12,"Downres_DEq_MS_X3_vs_X5"
"GO:0035383","GO:0035383","thioester metabolic process","12/316","94/18614",6.40639508906593e-08,1.94177835149588e-05,1.77625733311575e-05,"123876/570/11001/8801/6296/80221/197322/84693/2639/6576/390916/128486",12,"Downres_DEq_MS_X3_vs_X5"
"GO:0006641","GO:0006641","triglyceride metabolic process","12/316","100/18614",1.28684151711746e-07,3.54583330762094e-05,3.24357947950947e-05,"337/4547/718/341/345/1374/5105/338/9104/128486/9926/51099",12,"Downres_DEq_MS_X3_vs_X5"
"GO:0044273","GO:0044273","sulfur compound catabolic process","8/316","37/18614",1.58853575188379e-07,3.93263817098213e-05,3.59741233303823e-05,"7263/2720/8801/4669/6448/2990/390916/128486",8,"Downres_DEq_MS_X3_vs_X5"
"GO:0008202","GO:0008202","steroid metabolic process","21/316","323/18614",1.68671383117016e-07,3.93263817098213e-05,3.59741233303823e-05,"337/9563/570/11001/341/1727/1576/622/338/2330/11161/51478/1582/7108/8542/10941/9885/4204/54576/1586/10682",21,"Downres_DEq_MS_X3_vs_X5"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","17/316","220/18614",2.32484991146138e-07,5.03330005831388e-05,4.60425162916486e-05,"337/123876/55825/570/11001/6296/341/345/197322/1576/634/1582/2944/9885/9104/9926/8560",17,"Downres_DEq_MS_X3_vs_X5"
