"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0097237","GO:0097237","cellular response to toxic substance","10/423","124/18614",0.000538388340932757,0.031403308005451,0.0293597161253354,"337/2947/3043/2168/54996/2938/127/213/9403/2944",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0072525","GO:0072525","pyridine-containing compound biosynthetic process","5/423","31/18614",0.000617561097425013,0.0354915995402493,0.033181959274957,"125061/55191/23498/4837/554235",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0061383","GO:0061383","trabecula morphogenesis","6/423","47/18614",0.000648792855915222,0.0362404169294807,0.0338820468572503,"5950/6654/2280/57211/54583/3516",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0070482","GO:0070482","response to oxygen levels","18/423","333/18614",0.000652305896055365,0.0362404169294807,0.0338820468572503,"2168/10397/210/22933/1803/1027/5165/472/768/10533/4204/5291/23576/22937/6548/54583/2155/3516",18,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0036293","GO:0036293","response to decreased oxygen levels","17/423","306/18614",0.000674303491620314,0.0362404169294807,0.0338820468572503,"2168/10397/210/22933/1803/1027/5165/472/768/4204/5291/23576/22937/6548/54583/2155/3516",17,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006694","GO:0006694","steroid biosynthetic process","12/423","175/18614",0.000679980760593401,0.0362404169294807,0.0338820468572503,"9563/11001/570/1576/10654/51478/7108/9885/22937/8720/1582/1181",12,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0045834","GO:0045834","positive regulation of lipid metabolic process","11/423","151/18614",0.000683427093411035,0.0362404169294807,0.0338820468572503,"337/2168/1374/116519/9104/7410/22937/345275/57406/27329/3667",11,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006639","GO:0006639","acylglycerol metabolic process","10/423","128/18614",0.000690875171374554,0.0362404169294807,0.0338820468572503,"337/4547/1374/116519/9104/23659/341/345/5105/57406",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","8/423","85/18614",0.000695504419066288,0.0362404169294807,0.0338820468572503,"9563/2330/125061/55191/23498/64080/4837/554235",8,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0034367","GO:0034367","protein-containing complex remodeling","5/423","32/18614",0.000718411553204643,0.0369414782884703,0.0345374861658354,"337/4547/116519/341/345",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006638","GO:0006638","neutral lipid metabolic process","10/423","129/18614",0.000734099829429885,0.0372579497845713,0.0348333630615329,"337/4547/1374/116519/9104/23659/341/345/5105/57406",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0019395","GO:0019395","fatty acid oxidation","9/423","109/18614",0.000853683584545525,0.0427717365179989,0.0399883363287114,"2168/80724/11001/1374/2639/55268/56898/127/3667",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0042304","GO:0042304","regulation of fatty acid biosynthetic process","6/423","50/18614",0.000906768692123685,0.044295650610242,0.0414130806626488,"337/116519/9104/341/345/22937",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0046365","GO:0046365","monosaccharide catabolic process","6/423","50/18614",0.000906768692123685,0.044295650610242,0.0414130806626488,"2584/26007/2592/64080/2582/132158",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","12/423","182/18614",0.000959356506814765,0.0462859904769395,0.0432738977927752,"337/9563/116519/9104/341/345/5105/22937/345275/57406/8720/1181",12,"Downres_DEq_MS_X3H_vs_X5H"
