"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","8/402","79/18614",0.000302122961221238,0.0227717777045969,0.0212203186178715,"9563/2330/125061/55191/23498/64080/4837/554235",8,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","8/402","79/18614",0.000302122961221238,0.0227717777045969,0.0212203186178715,"9563/2330/125061/55191/23498/64080/4837/554235",8,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0042159","GO:0042159","lipoprotein catabolic process","4/402","16/18614",0.000317441800847182,0.0234662746626263,0.0218674989530964,"127018/472/51104/84945",4,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0070482","GO:0070482","response to oxygen levels","18/402","333/18614",0.000358619902115971,0.0260100925232791,0.0242380045064677,"2168/10397/210/22933/1803/1027/5165/472/768/10533/4204/5291/23576/22937/6548/54583/2155/3516",18,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0036293","GO:0036293","response to decreased oxygen levels","17/402","306/18614",0.000379722723256112,0.0270306323740092,0.025189014176229,"2168/10397/210/22933/1803/1027/5165/472/768/4204/5291/23576/22937/6548/54583/2155/3516",17,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0034368","GO:0034368","protein-lipid complex remodeling","5/402","30/18614",0.000418352121122414,0.0287168848856171,0.0267603809808191,"337/4547/116519/341/345",5,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","5/402","30/18614",0.000418352121122414,0.0287168848856171,0.0267603809808191,"337/4547/116519/341/345",5,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0009062","GO:0009062","fatty acid catabolic process","9/402","105/18614",0.000452056738161297,0.0304860719560004,0.0284090319476065,"2168/80724/11001/1374/23659/2639/56898/5105/3667",9,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0006639","GO:0006639","acylglycerol metabolic process","10/402","128/18614",0.000465935065814162,0.0308802481549937,0.0287763526128057,"337/4547/1374/116519/9104/23659/341/345/5105/57406",10,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0072525","GO:0072525","pyridine-containing compound biosynthetic process","5/402","31/18614",0.000490046521199626,0.030888029601065,0.028783603902849,"125061/55191/23498/4837/554235",5,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0006638","GO:0006638","neutral lipid metabolic process","10/402","129/18614",0.000495580537716723,0.030888029601065,0.028783603902849,"337/4547/1374/116519/9104/23659/341/345/5105/57406",10,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0061383","GO:0061383","trabecula morphogenesis","6/402","47/18614",0.000496446396408729,0.030888029601065,0.028783603902849,"5950/6654/2280/57211/54583/3516",6,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","8/402","85/18614",0.000498194025823628,0.030888029601065,0.028783603902849,"9563/2330/125061/55191/23498/64080/4837/554235",8,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0034367","GO:0034367","protein-containing complex remodeling","5/402","32/18614",0.000570603751232512,0.0348158860275837,0.0324438523883749,"337/4547/116519/341/345",5,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0042304","GO:0042304","regulation of fatty acid biosynthetic process","6/402","50/18614",0.00069582621942877,0.0411500921151414,0.0383465040439855,"337/116519/9104/341/345/22937",6,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0046365","GO:0046365","monosaccharide catabolic process","6/402","50/18614",0.00069582621942877,0.0411500921151414,0.0383465040439855,"2584/26007/2592/64080/2582/132158",6,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0006650","GO:0006650","glycerophospholipid metabolic process","16/402","297/18614",0.000778497596616629,0.0453415872938534,0.0422524293666091,"337/5130/284161/23236/23659/341/55697/23167/472/4204/5291/63874/9807/254531/57406/5296",16,"Upres_DEq_MS_X3H_vs_X5H"
