"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","29/323","312/19518",5.99480636201305e-14,1.86438477858606e-11,1.58389094406871e-11,"337/7018/8635/5033/80781/4547/718/9563/8824/11001/7448/3484/1291/1356/51661/213/4241/56983/338/410/2243/1000/10148/6383/8542/9403/54905/3053/64167",29,"Downres_DEq_MS_X3_vs_X5"
"GO:0005759","GO:0005759","mitochondrial matrix","30/323","484/19518",6.04563961979387e-10,8.80716568828588e-08,7.48214109920378e-08,"123876/7263/79611/3155/8801/4329/6296/80221/5095/197322/55856/549/622/2110/80724/84693/80017/196074/55217/2639/10247/1629/593/54704/79736/9512/11232/349565/7084/387787",30,"Downres_DEq_MS_X3_vs_X5"
"GO:0005775","GO:0005775","vacuolar lumen","18/323","176/19518",8.49565822021146e-10,8.80716568828588e-08,7.48214109920378e-08,"8635/718/2548/2720/1727/4669/1200/338/410/23324/2588/6278/6383/387921/54749/6448/2990/25801",18,"Downres_DEq_MS_X3_vs_X5"
"GO:0043202","GO:0043202","lysosomal lumen","13/323","98/19518",8.34943713466149e-09,6.49168737219931e-07,5.51502294947377e-07,"8635/2548/2720/4669/1200/338/410/23324/2588/6383/54749/6448/2990",13,"Downres_DEq_MS_X3_vs_X5"
"GO:0072562","GO:0072562","blood microparticle","15/323","144/19518",1.72481598180002e-08,1.07283554067961e-06,9.11429076698536e-07,"337/1/3500/7018/2244/718/7448/629/1356/213/2040/2243/8542/721/3848",15,"Downres_DEq_MS_X3_vs_X5"
"GO:0031983","GO:0031983","vesicle lumen","21/323","327/19518",1.37701693862938e-07,7.13753779856228e-06,6.06370616835042e-06,"1/7018/8635/2244/718/2720/1727/213/338/410/2243/1476/139322/2588/6278/387921/2990/78991/4057/25801/6709",21,"Downres_DEq_MS_X3_vs_X5"
"GO:0005766","GO:0005766","primary lysosome","14/323","155/19518",3.10154845745803e-07,1.20572696283681e-05,1.02432718792364e-05,"8635/718/2548/2720/1727/5547/2040/410/2588/6278/387921/2990/25801/353189",14,"Downres_DEq_MS_X3_vs_X5"
"GO:0042582","GO:0042582","azurophil granule","14/323","155/19518",3.10154845745803e-07,1.20572696283681e-05,1.02432718792364e-05,"8635/718/2548/2720/1727/5547/2040/410/2588/6278/387921/2990/25801/353189",14,"Downres_DEq_MS_X3_vs_X5"
"GO:0034774","GO:0034774","secretory granule lumen","20/323","322/19518",4.67547649980362e-07,1.61563687937659e-05,1.37256678532247e-05,"1/7018/8635/2244/718/2720/1727/213/410/2243/1476/139322/2588/6278/387921/2990/78991/4057/25801/6709",20,"Downres_DEq_MS_X3_vs_X5"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","20/323","325/19518",5.41226183647686e-07,1.6832134311443e-05,1.42997654837441e-05,"1/7018/8635/2244/718/2720/1727/213/410/2243/1476/139322/2588/6278/387921/2990/78991/4057/25801/6709",20,"Downres_DEq_MS_X3_vs_X5"
"GO:0035578","GO:0035578","azurophil granule lumen","10/323","91/19518",2.63290459145144e-06,7.44393934492181e-05,6.32401007133313e-05,"8635/718/2720/1727/410/2588/6278/387921/2990/25801",10,"Downres_DEq_MS_X3_vs_X5"
"GO:0005743","GO:0005743","mitochondrial inner membrane","24/323","497/19518",3.08519902093828e-06,7.99580746259838e-05,6.79285047592552e-05,"81855/94081/55349/79944/622/1384/2110/788/6576/139322/666/27089/1350/9377/1337/8760/137682/9512/26517/54946/51117/57143/140823/79064",24,"Downres_DEq_MS_X3_vs_X5"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","5/323","20/19518",1.52103755085108e-05,0.000337887627367633,0.000287052951326031,"337/341/345/338/8542",5,"Downres_DEq_MS_X3_vs_X5"
