"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031965","GO:0031965","nuclear membrane","35/1406","308/19518",0.00500228476227219,0.0305458665270664,0.0239190995911559,"23225/307/54884/327/9805/1192/8904/1717/7108/6836/26049/22929/6272/163590/10227/5025/23236/4646/23133/2644/128637/403313/22927/3300/2023/5663/23224/53343/286148/6683/10204/84516/666/9587/4521",35,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0000776","GO:0000776","kinetochore","21/1406","159/19518",0.00510283554878203,0.0308318695263251,0.0241430557266474,"10540/6396/10428/10910/57132/128866/134492/51143/1783/29082/3297/25978/5663/1060/23332/10671/91782/23122/51652/84516/79003",21,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0005802","GO:0005802","trans-Golgi network","30/1406","255/19518",0.00548195149284492,0.0324649859427827,0.0254218760270827,"999/6653/5007/79585/23163/57448/26088/64149/55204/7260/116985/10133/3996/10244/27236/81555/55275/6293/55300/10079/23122/6311/9522/23647/4952/10139/8678/666/51542/84661",30,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0042581","GO:0042581","specific granule","21/1406","160/19518",0.00548624326907651,0.0324649859427827,0.0254218760270827,"7414/10970/8566/11001/79792/634/8836/56954/311/8694/4790/10043/306/30/3240/138050/23191/9725/23250/5777/9522",21,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0030427","GO:0030427","site of polarized growth","22/1406","172/19518",0.00618217930232094,0.0360987632003863,0.0282673242005593,"1500/57698/22933/4137/10540/57447/2332/23265/1072/94056/51393/23191/26958/25791/84062/8882/5663/23406/60412/149371/54536/54942",22,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0098562","GO:0098562","cytoplasmic side of membrane","24/1406","193/19518",0.00622609330459625,0.0360987632003863,0.0282673242005593,"999/2241/2539/7430/84299/52/2760/94056/128866/2647/23557/55072/118426/2280/29082/6234/10160/9885/91782/2787/9852/729991/6235/54785",24,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0031902","GO:0031902","late endosome membrane","20/1406","155/19518",0.00797020253945277,0.0457489625764589,0.0358239629931193,"6653/57132/128866/51028/309/29082/57617/25978/51160/27183/23339/7251/114883/302/9525/80700/91782/51652/27072/4891",20,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0031901","GO:0031901","early endosome membrane","23/1406","187/19518",0.00830250548292828,0.0458353850191384,0.0358916365361675,"6653/8723/26060/2060/387680/10043/23163/26088/3996/30844/5371/5663/55198/7251/80700/55300/10079/9765/51375/4952/666/27072/79803",23,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0097504","GO:0097504","Gemini of coiled bodies","4/1406","12/19518",0.00830466906270104,0.0458353850191384,0.0358916365361675,"22927/8882/54960/79833",4,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0099243","GO:0099243","extrinsic component of synaptic membrane","4/1406","12/19518",0.00830466906270104,0.0458353850191384,0.0358916365361675,"1399/10160/10142/8301",4,"Downres_DEq_MS_X1H_vs_X3H"
"GO:1990072","GO:1990072","TRAPPIII protein complex","4/1406","12/19518",0.00830466906270104,0.0458353850191384,0.0358916365361675,"27095/51399/58485/22878",4,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","29/1406","253/19518",0.00887988312231727,0.0481191551136164,0.0376799545819076,"4343/4137/57521/2332/1512/7706/55308/5683/1992/55337/27257/23589/84962/129563/85441/22927/23351/28960/2886/9898/9698/5685/9470/55643/219988/27161/6311/9931/23318",29,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0030426","GO:0030426","growth cone","21/1406","167/19518",0.00888611575268874,0.0481191551136164,0.0376799545819076,"1500/57698/22933/4137/10540/57447/2332/23265/1072/94056/51393/23191/26958/25791/84062/8882/5663/60412/149371/54536/54942",21,"Downres_DEq_MS_X1H_vs_X3H"
